,index,state,act_part_pct_2018,act_composite_2018,sat_part_pct_2018,sat_verbal_2018,sat_math_2018,act_part_pct_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_part_pct_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_total_2018,n_act_part_pct_2018,n_act_composite_2018,n_sat_part_pct_2018,n_sat_verbal_2018,n_sat_math_2018,n_act_part_pct_2017,n_act_english_2017,n_act_math_2017,n_act_reading_2017,n_act_science_2017,n_act_composite_2017,n_sat_part_pct_2017,n_sat_verbal_2017,n_sat_math_2017,n_sat_total_2017,n_sat_total_2018,gdp,pci,test,white,black,hispanic,asian,native,hawaii,other,n_gdp,n_pci
31,31,Ohio,1.0,20.3,0.18,552,547,0.75,21.2,21.6,22.5,22.0,22.0,0.12,578,570,1148,1099,1.0,0.329113924050633,0.163265306122449,0.44171779141104295,0.38285714285714284,0.7282608695652174,0.5326086956521738,0.493150684931507,0.5569620253164557,0.8716814159292036,0.5454545454545454,0.1020408163265306,0.5925925925925926,0.5573770491803278,0.5739130434782609,0.38006230529595014,645747,59768,a,0.79,0.12,0.04,0.02,0.01,0.01,0.03,0.22176838371447088,0.408777947472522
32,32,West Virginia,0.65,20.3,0.28,513,486,0.69,20.0,19.4,21.2,20.5,20.4,0.14,558,528,1086,999,0.6236559139784947,0.329113924050633,0.2653061224489796,0.20245398773006135,0.03428571428571429,0.6630434782608695,0.4021739130434782,0.19178082191780801,0.39240506329113906,0.8053097345132744,0.33766233766233744,0.12244897959183675,0.4691358024691358,0.32786885245901637,0.39420289855072466,0.06853582554517133,74047,45392,,0.93,0.04,0.01,0.01,0.01,0.0,0.02,0.01500946092954356,0.048847049397861844
33,33,Kentucky,1.0,20.2,0.04,630,618,1.0,19.6,19.4,20.5,20.1,20.0,0.04,631,616,1247,1248,1.0,0.31645569620253156,0.020408163265306124,0.9202453987730062,0.7885714285714286,1.0,0.35869565217391314,0.19178082191780801,0.3037974683544303,0.7876106194690267,0.28571428571428564,0.020408163265306124,0.9197530864197531,0.8087431693989071,0.8608695652173913,0.8442367601246106,202175,51348,a,0.85,0.08,0.03,0.01,0.01,0.0,0.02,0.061347762938616796,0.19796700132695727
34,34,Nebraska,1.0,20.1,0.03,629,623,0.84,20.9,20.9,21.9,21.5,21.4,0.03,629,625,1254,1252,1.0,0.30379746835443056,0.01020408163265306,0.9141104294478528,0.8171428571428572,0.8260869565217391,0.49999999999999983,0.3972602739726025,0.48101265822784783,0.8495575221238939,0.4675324675324673,0.01020408163265306,0.9074074074074074,0.8579234972677595,0.881159420289855,0.8566978193146417,119588,59619,a,0.79,0.04,0.11,0.03,0.01,0.0,0.02,0.03147965176835478,0.4050474449813475
35,35,Missouri,1.0,20.0,0.04,633,629,1.0,19.8,19.9,20.8,20.5,20.4,0.03,640,631,1271,1262,1.0,0.2911392405063291,0.020408163265306124,0.9386503067484663,0.8514285714285714,1.0,0.3804347826086957,0.2602739726027395,0.34177215189873417,0.8053097345132744,0.33766233766233744,0.01020408163265306,0.9753086419753086,0.8907103825136612,0.9304347826086956,0.8878504672897196,303763,56885,a,0.8,0.11,0.04,0.02,0.01,0.01,0.03,0.0980877059994445,0.3365964798077164
36,36,Montana,1.0,20.0,0.1,606,592,1.0,19.0,20.2,21.0,20.5,20.3,0.1,605,591,1196,1198,1.0,0.2911392405063291,0.0816326530612245,0.7730061349693251,0.64,1.0,0.2934782608695652,0.3013698630136985,0.3670886075949366,0.8053097345132744,0.32467532467532473,0.0816326530612245,0.7592592592592593,0.6721311475409836,0.7130434782608696,0.6884735202492211,47079,59087,a,0.87,0.01,0.04,0.01,0.06,0.0,0.03,0.005256313072863623,0.3917277985027916
37,37,Wyoming,1.0,20.0,0.03,633,625,1.0,19.4,19.8,20.8,20.6,20.2,0.03,626,604,1230,1258,1.0,0.2911392405063291,0.01020408163265306,0.9386503067484663,0.8285714285714286,1.0,0.3369565217391302,0.2465753424657535,0.34177215189873417,0.8097345132743364,0.3116883116883115,0.01020408163265306,0.8888888888888888,0.7431693989071039,0.8115942028985508,0.8753894080996885,38037,57837,a,0.84,0.01,0.1,0.01,0.02,0.0,0.02,0.001986216554022776,0.3604316366640795
38,38,Florida,0.66,19.9,0.56,550,549,0.73,19.0,19.4,21.0,19.4,19.8,0.83,520,497,1017,1099,0.6344086021505377,0.27848101265822767,0.5510204081632654,0.4294478527607362,0.3942857142857143,0.7065217391304348,0.2934782608695652,0.19178082191780801,0.3670886075949366,0.7566371681415929,0.25974025974025977,0.8265306122448979,0.2345679012345679,0.15846994535519127,0.19420289855072465,0.38006230529595014,976386,53681,,0.54,0.15,0.26,0.03,0.01,0.01,0.02,0.3413460703870012,0.25637815778272954
39,39,Tennessee,1.0,19.6,0.06,624,607,1.0,19.5,19.2,20.1,19.9,19.8,0.05,623,604,1227,1231,1.0,0.24050632911392425,0.04081632653061224,0.8834355828220859,0.7257142857142858,1.0,0.3478260869565217,0.1643835616438355,0.2531645569620254,0.7787610619469026,0.25974025974025977,0.030612244897959186,0.8703703703703703,0.7431693989071039,0.8028985507246377,0.7912772585669782,349569,55240,a,0.74,0.16,0.05,0.02,0.01,0.0,0.02,0.11465373576520693,0.29541073082797126
40,40,Arkansas,1.0,19.4,0.05,592,576,1.0,18.9,19.0,19.7,19.5,19.4,0.03,614,594,1208,1168,1.0,0.21518987341772136,0.030612244897959186,0.6871165644171779,0.5485714285714286,1.0,0.2826086956521737,0.136986301369863,0.20253164556962003,0.7610619469026549,0.20779220779220753,0.01020408163265306,0.8148148148148148,0.6885245901639344,0.7478260869565218,0.5950155763239875,122704,48829,,0.73,0.15,0.08,0.02,0.01,0.01,0.03,0.03260657288676974,0.13489897598958464
41,41,New Mexico,0.66,19.4,0.16,552,540,0.66,18.6,19.4,20.4,20.0,19.7,0.11,577,561,1138,1092,0.6344086021505377,0.21518987341772136,0.14285714285714288,0.44171779141104295,0.34285714285714286,0.6304347826086957,0.2500000000000001,0.19178082191780801,0.29113924050632883,0.7831858407079646,0.24675324675324659,0.09183673469387756,0.5864197530864198,0.5081967213114754,0.5449275362318841,0.3582554517133956,94211,47855,,0.37,0.02,0.49,0.01,0.09,0.0,0.02,0.02230189912971021,0.11051300668486017
42,42,Oklahoma,1.0,19.3,0.08,541,521,1.0,18.5,18.8,20.1,19.6,19.4,0.07,530,517,1047,1062,1.0,0.2025316455696204,0.061224489795918366,0.37423312883435583,0.2342857142857143,1.0,0.23913043478260865,0.1095890410958905,0.2531645569620254,0.7654867256637169,0.20779220779220753,0.05102040816326531,0.2962962962962963,0.2677595628415301,0.2811594202898551,0.26479750778816197,188632,55006,,0.66,0.07,0.11,0.02,0.07,0.01,0.07,0.05644985128691788,0.28955208933176435
43,43,Arizona,0.66,19.2,0.29,577,572,0.62,18.6,19.8,20.1,19.8,19.7,0.3,563,553,1116,1149,0.6344086021505377,0.18987341772151894,0.2755102040816326,0.5950920245398773,0.5257142857142857,0.5869565217391305,0.2500000000000001,0.2465753424657535,0.2531645569620254,0.7743362831858408,0.24675324675324659,0.2857142857142857,0.5,0.4644808743169399,0.4811594202898551,0.5358255451713395,326446,61125,,0.55,0.04,0.31,0.03,0.04,0.01,0.03,0.1062911564901398,0.44275306076462784
44,44,Louisiana,1.0,19.2,0.04,615,595,1.0,19.4,18.8,19.8,19.6,19.5,0.04,611,586,1197,1210,1.0,0.18987341772151894,0.020408163265306124,0.8282208588957055,0.6571428571428571,1.0,0.3369565217391302,0.1095890410958905,0.21518987341772147,0.7654867256637169,0.22077922077922071,0.020408163265306124,0.7962962962962963,0.644808743169399,0.7159420289855073,0.7258566978193146,235960,43903,a,0.59,0.32,0.05,0.02,0.01,0.0,0.02,0.07356632198407555,0.011567061415587993
45,45,Alabama,1.0,19.1,0.06,595,571,1.0,18.9,18.4,19.7,19.4,19.2,0.05,593,572,1165,1166,1.0,0.17721518987341794,0.04081632653061224,0.7055214723926381,0.52,1.0,0.2826086956521737,0.05479452054794501,0.20253164556962003,0.7566371681415929,0.18181818181818166,0.030612244897959186,0.6851851851851852,0.5683060109289617,0.6231884057971014,0.5887850467289719,211196,51113,a,0.66,0.27,0.04,0.01,0.01,0.0,0.02,0.06461026467456717,0.19208332290127939
46,46,North Carolina,1.0,19.1,0.52,554,543,1.0,17.8,19.3,19.6,19.3,19.1,0.49,546,535,1081,1097,1.0,0.17721518987341794,0.5102040816326531,0.4539877300613497,0.36,1.0,0.16304347826086957,0.178082191780822,0.18987341772151903,0.752212389380531,0.16883116883116894,0.47959183673469385,0.3950617283950617,0.366120218579235,0.37971014492753624,0.37383177570093457,540497,50343,a,0.63,0.21,0.09,0.03,0.01,0.01,0.03,0.18370405518007593,0.17280488720863274
47,47,Hawaii,0.89,18.9,0.56,480,530,0.9,17.8,19.2,19.2,19.3,19.0,0.55,544,541,1085,1010,0.881720430107527,0.15189873417721506,0.5510204081632654,0.0,0.2857142857142857,0.891304347826087,0.16304347826086957,0.1643835616438355,0.13924050632911367,0.752212389380531,0.15584415584415576,0.5408163265306123,0.38271604938271603,0.3989071038251366,0.391304347826087,0.102803738317757,88448,73575,a,0.21,0.01,0.1,0.38,0.01,0.1,0.2,0.020217673710767523,0.7544628326782004
48,48,Mississippi,1.0,18.6,0.03,630,606,1.0,18.2,18.1,18.8,18.8,18.6,0.02,634,607,1241,1236,1.0,0.11392405063291162,0.01020408163265306,0.9202453987730062,0.72,1.0,0.20652173913043465,0.013698630136986495,0.08860759493670879,0.7300884955752213,0.103896103896104,0.0,0.9382716049382716,0.7595628415300546,0.8434782608695652,0.8068535825545171,109375,43441,a,0.57,0.38,0.03,0.01,0.01,0.0,0.01,0.02778605568928803,0.0
